Name,CA,PA,PA Min,PA Max
Ephraim Yeboah,79,-75,120,150
Erencan Yardımcı,105,-75,120,150
Eric Junior Dina Ebimbe,130,150,150,150
Erik Nicolás López Samaniego,109,-75,120,150
Ervin Omic,110,-75,120,150
Esteban Lozano Solana,90,-75,120,150
Esteban Samuel Lucero Ayala,107,-75,120,150
Ewan Mark Simpson,75,-75,120,150
Eyimofe Uyighosa John Jemide,75,-75,120,150
Eyüp Aydın,108,-75,120,150
Fabiano Francisco Rust,90,-75,120,150
Fabijan Krivak,95,-75,120,150
Fabio Andrea Ruggeri,85,-75,120,150
Fábio Rúben Soares Jaló,86,-75,120,150
Facundo Benjamín Schamine,110,-75,120,150
Farid Alfa-Ruprecht,84,-75,120,150
Faryna Marian Ivanovych,103,-75,120,150
Felipe Amaral Casarin Damasceno,114,-75,120,150
Felipe Felício Silva Reis,85,-75,120,150
Felipe Sánchez,120,-75,120,150
Felix-Ohene Afena-Gyan,115,-75,120,150
Fellipe Jack Ozilio Moreira Pacheco,60,-75,120,150
Fernando Lopez Gonzalez,86,-75,120,150
Fernando Nicolás Romero,117,-75,120,150
Ferran Seco Fons,58,-75,120,150
Filip Erik Thorvaldsen,88,-75,120,150
Filip Sidklev,96,-75,120,150
Filippo Calixto Mané,97,-75,120,150
Finley John Stevens,113,-75,120,150
Finley Joseph McAllister,78,-75,120,150
Finn Jeltsch,90,-75,120,150
Flavio Sulejmani,67,-75,120,150
Francisco Bernardes Freitas Neto,70,-75,120,150
Francisco Guillermo Marco,105,-75,120,150
Francisco Javier González Pérez,75,-75,120,150
Francisco José Gómez Casado,90,-75,120,150
Francisco López Fernández,94,-75,120,150
Francisco Murilo de Sousa Almeida,81,-75,120,150
Francisco Scarpeccio,81,-75,120,150
Franco Jaroszewicz,90,-75,120,150
François Mendy,75,-75,120,150
Frankie Runham,65,-75,120,150
Gabriel Costa Brás,85,-75,120,150
Gabriel dos Santos Silva,73,-75,120,150
Gabriel Martínez Aguilera,110,-75,120,150
Gabriel Sigua,97,-75,120,150
Gabriel Silva Vieira,119,-75,120,150
Gabriel Souza da Silva,96,-75,120,150
Gabriele Cataldo Biancheri,68,-75,120,150
Gabriele Guarino,104,-75,120,150
Gabrijel Rukavina,104,-75,120,150
Gaizka Albóniga-Menor González,95,-75,120,150
Galdur Guðmundsson,85,-75,120,150
Gastón Nicolás González,122,-75,120,150
Gautier Ott,114,-75,120,150
Georgios Koutsias,100,-75,120,150
Georgy Arutyunyan,89,-75,120,150
Geovany Tcherno Quenda,72,-75,120,150
Gerard Fernández Castellano,115,-75,120,150
Geremy Adrián de Jesús Congo,84,-75,120,150
Gerónimo Heredia Velázquez,100,-75,120,150
Giannino Felicio Vianello,65,-75,120,150
Gino Infantino,122,-75,120,150
Gino Podestá,80,-75,120,150
Giorgi Kvernadze,112,-75,120,150
Giorgio Cittadini,112,150,150,150
Giovane Santana do Nascimento,107,-75,120,150
Giovanni Leoni,84,-75,120,150
Giuseppe Ambrosino Di Bruttopilo,101,-75,120,150
Givairo Read,90,-75,120,150
Gjivai Zechiël,108,-75,120,150
Gonçalo do Lago Pontes Esteves,105,-75,120,150
Gonçalo Miguel Azevedo Ribeiro,86,-75,120,150
Gonçalo Óscar Albuquerque Borges,130,150,150,150
Gonçalo Santos Sousa,75,-75,120,150
Gonzalo Andrés Tapia Dubournais,101,-75,120,150
Guela Doué,107,-75,120,150
Guilherme da Silva Gonçalves,105,-75,120,150
Guilherme Gonçalves Gaspar,72,-75,120,150
Guilherme Meira Ferreira Alves,87,-75,120,150
Gustav Kjølstad Nyheim,88,-75,120,150
Gustav Tang Isaksen,134,150,150,150
Gustavo Gabriel Santos Ferreira,78,-75,120,150
Gustavo Hidalgo Albarracín,87,-75,120,150
Habib Camara,95,-75,120,150
Håkon Røsten,96,-75,120,150
Han-Beom Lee,111,-75,120,150
Harrison Murray-Campbell,85,-75,120,150
Harrison Parker,70,-75,120,150
Harry Paul Leonard,107,-75,120,150
Henrique Fabiano do Carmo,82,-75,120,150
Henrique Fernandes da Silva,82,-75,120,150
Henrique Miguel Sousa Arreiol,75,-75,120,150
Herculano Bucancil Nabian,102,-75,120,150
Hossam Abdel Maguid,110,-75,120,150
Ho-Yeon Jeong,104,-75,120,150
Hugo Bueno López,117,-75,120,150
Hugo de Llanos García,78,-75,120,150
Hugo Francisco Cuenca Martínez,87,-75,120,150
Hugo Novoa Ramos,116,-75,120,150
Hunor Vajk Németh,80,-75,120,150
Hyan Carvalho Machado Silva,85,-75,120,150
Iacopo Regonesi,76,-75,120,150
Ian Subiabre,80,-75,120,150
Ian Vera,98,-75,120,150
Ibou Sané,100,-75,120,150
Ibrahim Diakité,95,-75,120,150
Ibrahim Diarra,80,-75,120,150
Ibrahim Maza,98,-75,120,150
Ibrahim Osman,115,-75,120,150
Ignacio Benedicto Isla,90,-75,120,150
Ignacio Daniel Maestro Puch,114,-75,120,150
Ignacio Ezequiel Agustín Fernández Carballo,124,150,150,150
Ignacio Ferri Julià,92,-75,120,150
Ignacio Miramón,125,-75,120,150
Igor Jesus Maciel da Cruz,110,-75,120,150
Igor Strzałek,100,-75,120,150
Iker Gil López,85,-75,120,150
Iker Moreno,86,-75,120,150
Iker Otadui Aristi,77,-75,120,150
Ilias Splinter,82,-75,120,150
Iliesse Salhi,70,-75,120,150
Ilyas el Moussaoui,95,-75,120,150
Ilyes Benlebsir,86,-75,120,150
Ilyes Hamache,110,-75,120,150
Irakly Manelov,102,-75,120,150
Isaac Angus Mabaya,82,-75,120,150
Isaac Price,100,-75,120,150
Isaiah Jelani Oladele Adedeji Dada-Mascoll,86,-75,120,150
Isaías Violante Romero,97,-75,120,150
Isak Alexander Alemayehu Mulugeta,88,-75,120,150
Ísak Bergmann Jóhannesson,118,-75,120,150
Isak Brusberg,87,-75,120,150
Isak Jønvik Holmen,77,-75,120,150
İsak Vural,85,-75,120,150
Ismaël Aouad,86,-75,120,150
Ismaël Baouf,84,-75,120,150
Ismaël Isaac Cissé,92,-75,120,150
Ivan Correia Posser Lima,84,-75,120,150
Ivanildo da Silva Mendes,74,-75,120,150
Ivar Jenner,100,-75,120,150
Ivis Alan Davis Moreira,87,-75,120,150
Ivo Mammini,118,-75,120,150
Ivonei Junior da Silva Rabelo,108,-75,120,150
Izan Merino Rodríguez,65,-75,120,150
Jack McGlynn,112,-75,120,150
Jack Patterson,69,-75,120,150
Jack Thompson,50,-75,120,150
Jacob Anthony Wright,77,-75,120,150
Jacob Emile Dicko Eng,95,-75,120,150
Jaden de Guzman,83,-75,120,150
Jahrnell Wijngaarde,85,-75,120,150
Jahyendrow Amour,70,-75,120,150
Jairo Joel Reyes Castillo,88,-75,120,150
Jake Thomas Batty,102,-75,120,150
Jakub Stolarczyk,120,-75,120,150
Jalisthon José Angulo Cárdenas,77,-75,120,150
Jamal Baptiste,90,-75,120,150
Jamaldeen Jimoh,75,-75,120,150
James Abankwah,95,-75,120,150
James Giles Beadle,104,-75,120,150
James Gomez,114,150,150,150
Jamie Lawrence,110,-75,120,150
Jan Jakub Faberski,80,-75,120,150
Jan-Carlo Simić,91,-75,120,150
Janis Lüthi,85,-75,120,150
Jankat Yılmaz,85,-75,120,150
Janko Jevremović,106,-75,120,150
Jardell Kanga,85,-75,120,150
Jarell Amorin Quansah,106,-75,120,150
Jarne Flies,81,-75,120,150
Jasper Silva Torkildsen,99,-75,120,150
Javier Fernández González,84,-75,120,150
Javier Gonzalo Morales,115,-75,120,150
Javier Nicolás Vallejo,115,-75,120,150
Javier Ruiz,106,-75,120,150
Javier Serrano Martínez,113,-75,120,150
Jay Henderson,99,-75,120,150
Jayden Candelaria,107,-75,120,150
Jayden Meghoma,90,-75,120,150
Jean Frédéric Kouadio N'Guessan,115,-75,120,150
Jean-Baptiste Gorby,96,-75,120,150
Jean-Mattéo Bahoya,104,-75,120,150
Jefté Vital da Silva Dias,87,-75,120,150
Jens Castrop,114,-75,120,150
Jens Heylen,81,-75,120,150
Jens Hjertø-Dahl,100,-75,120,150
Jeremias Gonzalez,103,-75,120,150
Jeremías Nicolás Lucco Piccoli,92,-75,120,150
Jeremías Nicolás Palavecino,111,-75,120,150
Jeremy André de León Rodríguez,102,-75,120,150
Jerónimo Russo,97,-75,120,150
Jesse van de Haar,101,-75,120,150
Jesurun Rak-Sakyi,111,-75,120,150
Jesús Alberto Alcantar Rodríguez,86,-75,120,150
Jesús David Polo Herrera,86,-75,120,150
Jesús Manuel Diaz Marulanda,99,-75,120,150
Jesús Rodríguez Caraballo,90,-75,120,150
Jewison Francisco Bennette Villegas,114,-75,120,150
Jeyson Alejandro Rojas Orellana,105,-75,120,150
Jhoan Hernández Mejía,88,-75,120,150
Jhojan Camilo Torres Guaza,113,-75,120,150
Jhon Andersson Banguera Riascos,100,-75,120,150
Jhon Jáider Vélez Carey,104,-75,120,150
Jibril Othman,75,-75,120,150
Jimi Tauriainen,90,-75,120,150
Ji-Soo Kim,81,-75,120,150
Ji-Sung Eom,111,-75,120,150
Joan Martínez Lozano,60,-75,120,150
Joan Sebastián Londoño Muñoz,60,-75,120,150
Joao Alberto Grimaldo Ubidia,111,-75,120,150
João Giordano Amaro Assunção da Silva,78,-75,120,150
João Maria Ornelas Vasconcelos Capucho,72,-75,120,150
João Moreira Sanmartin Souza,106,-75,120,150
João Pedro Chermont Crema,80,-75,120,150
João Pedro de Sousa Rodrigues,94,-75,120,150
João Pedro Murilo de Paula Morais,93,-75,120,150
João Pedro Reginaldo,100,-75,120,150
João Pedro Silverio Lourenço,82,-75,120,150
João Pedro Sousa Infante,71,-75,120,150
João Vasconcelos Faria Gonçalves,78,-75,120,150
João Victor de Souza Menezes,81,-75,120,150
Joaquín López Pineda,80,-75,120,150
Jobe Samuel Patrick Bellingham,104,-75,120,150
Joel Mvuka Mugisha,120,-75,120,150
Joël-Emmanuel Coulibaly,82,-75,120,150
Joeri Jesse Heerkens,73,-75,120,150
Joeri Oud,76,-75,120,150
Johan Johannesen Bakke,98,-75,120,150
Johan Rojas Echavarria,104,-75,120,150
John Edwin Montaño Preciado,80,-75,120,150
Jon Eceizabarrena Rezola,86,-75,120,150
Jon Mikel Aranburu Mejías,109,-75,120,150
Jon Pacheco Dozagaral,124,-75,120,150
Jonathan Macaulay,70,-75,120,150
Jones El-Abdellaoui,87,-75,120,150
Jordan Andrés Barrera Herrera,89,-75,120,150
Jordan Anthony James,108,-75,120,150
Jordan Jacob Bos,111,-75,120,150
Jordhy Eduardo Thompson Dávila,108,-75,120,150
Jordy Bawuah,84,-75,120,150
Jorge García,62,-75,120,150
Jorge Leguin Cabezas Hurtado,99,-75,120,150
Jorge Monteiro Meireles,95,-75,120,150
Jorne Spileers,100,-75,120,150
José Andrés Hurtado Cheme,119,-75,120,150
José Ángel Eulogio Téllez,82,-75,120,150
José Daniel Mulato Palacios,89,-75,120,150
José David Romero,109,-75,120,150
José Manuel Romera Albacete,70,-75,120,150
José María Andrés Baixauli,72,-75,120,150
José María Aragüés Bernal,84,-75,120,150
José Pedro Jesus Santa Precatado Marques,85,-75,120,150
Josen David Escobar Del Duca,102,-75,120,150
Joseph Charles Whitworth,94,-75,120,150
Joseph Oliver Wormleighton,88,-75,120,150
Joseph Sabobo Banda,83,-75,120,150
Joseph Shaun Hodge,110,-75,120,150
Josh Adam,89,-75,120,150
Josh Clarke,75,-75,120,150
Josh Coburn,113,-75,120,150
Joshua Dalai Mancha García,92,-75,120,150
Joshua Darius Kamani Wilson-Esbrand,112,-75,120,150
Joshua David King,60,-75,120,150
Jovan Miladinović,90,-75,120,150
Jovan Mituljikić,100,-75,120,150
Jovan Zivkovic,87,-75,120,150
Juan Andres Castillo Lozano,104,-75,120,150
Juan Carlos Gauto,126,-75,120,150
Juan Carlos Pontones González,84,-75,120,150
Juan David Arizala Micolta,75,-75,120,150
Juan David Bonilla Andrade,80,-75,120,150
Juan David Macías Alcívar,96,-75,120,150
Juan David Obando González,75,-75,120,150
Juan Diego Castillo Reyes,97,-75,120,150
Juan Enrique Herrero García,80,-75,120,150
Juan Esteban Sánchez Hernández,70,-75,120,150
Juan Félix Cantú Ortiz,72,-75,120,150
Juan Hernández Torres,80,-75,120,150
Juan José Arias Henao,88,-75,120,150
Juan Mateo Santamaría Gaona,75,-75,120,150
Juan Pablo González Ozuna,70,-75,120,150
Juan Pablo Torres Patiño,95,-75,120,150
Juan Sebastián Rodríguez López,92,-75,120,150
Juan Sebastián Serrano,92,-75,120,150
Juan Sebastián Sforza,127,150,150,150
Juan Valentín Giménez,95,-75,120,150
Julián Andrés Bazán Medina,85,-75,120,150
Julián Darío Ceballos,95,-75,120,150
Julian Dean Rijkhoff,95,-75,120,150
Julián Ezequiel Aude Bernardi,118,-75,120,150
Julián Fernández,115,-75,120,150
Julian Oerip,75,-75,120,150
Julien Ponceau,124,150,150,150
Julio César Soler Barreto,107,-75,120,150
Julius Eskelund Beck,102,-75,120,150
Jusef Erabi,114,-75,120,150
Justin Isiah Che,104,-75,120,150
Justin Janitzek,102,-75,120,150
Justin Marvellous Osagie,65,-75,120,150
Justin Oke Oboavwoduo,73,-75,120,150
Kacey Wooster,65,-75,120,150
Kaden Kai Rodney,87,-75,120,150
Kaine Kesler Hayden,118,-75,120,150
Kais Benabdelouahed,90,-75,120,150
Kamari Olivier Doyle,100,-75,120,150
Kamron Habibullah,94,-75,120,150
Kanga Liam Aaron Akale,82,-75,120,150
Karl Jakob Hein,112,-75,120,150
Karol Borys,83,-75,120,150
Kassoum Ouattara,100,-75,120,150
Kauan Kelvin Magalhães da Silva,83,-75,120,150
Kauê Rodrigues Pessanha,83,-75,120,150
Kayden Wolff,90,-75,120,150
Kayky Henrique Almeida Brandão da Silva,89,-75,120,150
Kazper Karlsson,100,-75,120,150
Kebir Ali Canpolat,85,-75,120,150
Keenan Forson,75,-75,120,150
Keke Maximilian Topp,100,-75,120,150
Kelyan Yahia,78,-75,120,150
Ken Eghosa Gideon Izekor,82,-75,120,150
Kener Julian Valencia Chara,115,-75,120,150
Kenji Goes,75,-75,120,150
Keny Alexander Arroyo Alvarado,92,-75,120,150
Kerem Atakan Kesgin,115,-75,120,150
Kervin Mario Andrade Navarro,94,-75,120,150
Kevin Alexander Paredes,118,-75,120,150
Kevin Andrés Álvarez Carvajal,88,-75,120,150
Kevin Andrés Mantilla Camargo,110,-75,120,150
Kevin Bruno,86,-75,120,150
Kevin Jesús Kelsy Genez,105,-75,120,150
Kevin Santos Lopes de Macedo,104,-75,120,150
Kevyson Costa e Silva,122,-75,120,150
Keyliane Abdallah,80,-75,120,150
Khaled Razak,90,-75,120,150
Khalil Fayad,103,-75,120,150
Khayon Edwards,98,-75,120,150
Kian Darnell Leroy Pennant,82,-75,120,150
Kilian Nuno Joaquim Sauck,83,-75,120,150
Kirill Glebov,82,-75,120,150
Kirill Kravtsov,112,-75,120,150
Kirill Schetinin,110,-75,120,150
Kirill Stolbov,82,-75,120,150
Kivinda Daniel Vanzhio,95,-75,120,150
Kiyani Zeggen Lieuw Kie Song,70,-75,120,150
Kosta Nedeljković,93,-75,120,150
Kostas Koulierakis,110,-75,120,150
Kostas Tzolakis,100,-75,120,150
Kristian Nökkvi Hlynsson,101,-75,120,150
Krisztián Lisztes,95,-75,120,150
Kryštof Daněk,110,-75,120,150
Kyanno Miranda de Brito e Silva,84,-75,120,150
Kyriani Sabbe,99,-75,120,150
Lakyle Samuel,85,-75,120,150
Lamare Trenton Chansey Bogarde,107,-75,120,150
Landing Badji,105,-75,120,150
Landry Cephas Farré Miró,80,-75,120,150
Lars Sidney Raebiger,96,-75,120,150
Lasse Møldrup Abildgaard,67,-75,120,150
Laurin Ulrich,108,-75,120,150
Lautaro López,99,-75,120,150
Lazar Jovanović,89,-75,120,150
Lazola Maku,77,-75,120,150
Leandro Alexandre Gomes Martins,78,-75,120,150
Leandro Juan Hugo Mamut,111,-75,120,150
Leandro Leonel Brey,111,-75,120,150
Lebron Campagne,75,-75,120,150
Lennard Hartjes,103,-75,120,150
Lennon Miller,107,-75,120,150
Lenny Pirringuel,100,-75,120,150
Lenny Stéphane Lacroix,103,-75,120,150
Leon Avdullahu,98,-75,120,150
Leon Grgic,87,-75,120,150
Leon King,111,-75,120,150
Leon Opitz,98,-75,120,150
Leonardo Derik Dias Gonçalves,92,-75,120,150
Leonardo José Caetano Barroso,91,-75,120,150
Leonardo Mana Hernandes,96,-75,120,150
Leonardo Mendicino,80,-75,120,150
Lewis Norman Dobbin,106,-75,120,150
Lewis O'Donnell,75,-75,120,150
Lewis Pirie,80,-75,120,150
Lewis Terence Koumas,76,-75,120,150
Liam Erik Mahachai Källman,84,-75,120,150
Lino Decresson,80,-75,120,150
Lino Sousa,92,-75,120,150
Lisandro Piñero,80,-75,120,150
Logan Hamilton Briggs,70,-75,120,150
Lorenzo Carfora,90,-75,120,150
Louis Paul Jackson,78,-75,120,150
Loum Tchaouna,114,-75,120,150
Loun Srdanovic,80,-75,120,150
Luc de Fougerolles,82,-75,120,150
Luca Barrington,83,-75,120,150
Luca George Murphy Fletcher,65,-75,120,150
Luca Monticelli,95,-75,120,150
Luca Oyen,114,-75,120,150
Lucas Agustín Besozzi,116,-75,120,150
Lucas Agustín Obregón,90,-75,120,150
Lucas Bergström,120,-75,120,150
Lucas Boel Hey,110,-75,120,150
Lucas Frédéric Stassin,100,-75,120,150
Lucas Gardenier,80,-75,120,150
Lucas Ignacio Lavagnino,102,-75,120,150
Lucas Lavallée,95,-75,120,150
Lucas Noubi Ngnokam,95,-75,120,150
Lucas Taibo Domínguez,76,-75,120,150
Luciano Rodríguez Rosales,119,-75,120,150
Luciano Romano,90,-75,120,150
Luciano Silva Santos,101,-75,120,150
Luis Alberto Sequeira,109,-75,120,150
Luis Ángel Díaz Cuesta,90,-75,120,150
Luis Bilbao Arechaga,101,-75,120,150
Luís Domingos Vieira Barata Gomes,74,-75,120,150
Luis Eduardo Quintero Hernández,98,-75,120,150
Luis Eduardo Soares da Silva,113,-75,120,150
Luis Felipe Cristino Brito da Silva,94,-75,120,150
Luis Fernando Puente Prado,92,-75,120,150
Luis Gustavo Roncholeta Benedetti,61,-75,120,150
Luis Mario Tafur Mejía,84,-75,120,150
Luis Miguel Ángulo Sevillano,106,-75,120,150
Luiz Fernando Salles de Castro,92,-75,120,150
Luiz Gustavo Lemos Carvalho,84,-75,120,150
Luiz Henrique Rosa Roque da Paz,94,-75,120,150
Luka Gagnidze,110,-75,120,150
Luka Z. Veličković,86,-75,120,150
Lukáš Horníček,95,-75,120,150
Lukas Kačavenda,113,-75,120,150
Lukas Londoño Piedrahita,82,-75,120,150
Lukáš Mašek,85,-75,120,150
Luke James Cundle,116,-75,120,150
Luke Jonathan Thomas,130,150,150,150
Luke Mbete-Tabu,90,-75,120,150
Lyfe Oldenstam,78,-75,120,150
Lynden Edhart,101,-75,120,150
Mads Beyer Pasternak,68,-75,120,150
Maël Debondt,82,-75,120,150
Magnus Bech Riisnæs,105,-75,120,150
Magnus Smelhus Sjøeng,108,-75,120,150
Mahamadou Diawara,98,-75,120,150
Maher Carrizo,95,-75,120,150
Mahmoud Al-Omar,63,-75,120,150
Mahmoud Saber Abdelmohsen,118,-75,120,150
Maho Yepie Dorgeles Guy-Mario Bocha,105,-75,120,150
Maksim Paskotši,95,-75,120,150
Malcom David Palacios Mosquera,82,-75,120,150
Malick Martin Fofana,98,-75,120,150
Malík Klaus Modou Deme,97,-75,120,150
Malik Tillman,131,150,150,150
Mamadou Diakhon,95,-75,120,150
Mamadou Dos Gning,88,-75,120,150
Mamadou Doumbia,92,-75,120,150
Mamadou Ibra Mbacke Fall,110,-75,120,150
Mamadou Sané,97,-75,120,150
Mamadou Sow,90,-75,120,150
Mamady Diambou,109,-75,120,150
Mampassi Mark Rene,105,-75,120,150
Manuel Ascensão Bebiano Mendonça,76,-75,120,150
Marc Casadó Torras,115,-75,120,150
Marc Cucalón Pina,97,-75,120,150
Marcel Lorber,105,-75,120,150
Marcel Mendes-Dudziński,90,-75,120,150
Marcelo Ariel Morales Suárez,97,-75,120,150
Marcelo Flores Dorrell,114,-75,120,150
Marco Antonio Angulo Solórzano,113,-75,120,150
Marco Delle Monache,101,-75,120,150
Marcus Albin John Rafferty,98,-75,120,150
Marián Weber,75,-75,120,150
Mario Camero Pozuelo,92,-75,120,150
Mario Martín Rielves,106,-75,120,150
Mario Stroeykens,108,-75,120,150
Marius Courcoul,85,-75,120,150
Mark Chust García,70,-75,120,150
Mark-Emilio Ivanov Papazov,77,-75,120,150
Markus Lennart Seim-Monsen,85,-75,120,150
Maro Katinić,102,-75,120,150
Martim Maria Ferreira,80,-75,120,150
Martim Miguel Carneiro Tavares,102,-75,120,150
Martin Adeline,100,-75,120,150
Martin Gjorgievski,92,-75,120,150
Martin Pavlov Georgiev,90,-75,120,150
Martin Sherif,80,-75,120,150
Martin Turk,110,-75,120,150
Márton Dárdai,123,150,150,150
Marvelous Antolín Garzón,103,-75,120,150
Marvin De Lima,95,-75,120,150
Masaya Shibayama,107,-75,120,150
Mason Burstow,101,-75,120,150
Massien Ghaddari,92,-75,120,150
Matchoi Bobó Djaló,112,-75,120,150
Mate Ivkovic,74,-75,120,150
Matěj Šín,115,-75,120,150
Mateja Milovanović,82,-75,120,150
Mateja Stjepanović,107,-75,120,150
Mateo Adrian Aguiar,92,-75,120,150
Matéo Husselin,90,-75,120,150
Mateo Joseph Fernández Regatillo,99,-75,120,150
Mateo Maldonado,90,-75,120,150
Mateo Mendoza,95,-75,120,150
Mateo Morro,97,-75,120,150
Mateo Naim Sanabria,110,-75,120,150
Mateo Silvetti,82,-75,120,150
Mateo Tanlongo,117,-75,120,150
Mateus Dias Lima,95,-75,120,150
Mateusz Łęgowski,117,-75,120,150
Matheus de Araújo Andrade,120,-75,120,150
Matheus dos Reis Francisco,84,-75,120,150
Matheus dos Santos Dias,116,-75,120,150
Matheus Planelles Donelli,110,-75,120,150
Mathias Johan Fjørtoft Løvik,108,-75,120,150
Mathieu Patrick Vignon Ouotro,94,-75,120,150
Mathis Amougou,75,-75,120,150
Matías Agustín Moreno,115,-75,120,150
Matías Damián Palacios,110,-75,120,150
Matías Ezequiel Abaldo Menyou,119,-75,120,150
Matías Ezequiel Gómez,93,-75,120,150
Matías Lautaro Schulz,98,-75,120,150
Matija Frigan,115,-75,120,150
Mattéo Anselme,76,-75,120,150
Matteo Cancellieri,125,150,150,150
Matteo Escouflaire,88,-75,120,150
Matteo Rizzo,100,-75,120,150
Mattes Hansen,108,-75,120,150
Matthew Aidan Cox,108,-75,120,150
Matthias Braunöder,114,150,150,150
Mattia Liberali,53,-75,120,150
Mattia Mannini,70,-75,120,150
Mattia Mosconi,73,-75,120,150
Mattia Viti,122,150,150,150
Mattia Zanotti,109,-75,120,150
Matvey Lukin,89,-75,120,150
Matyáš Havelka,90,-75,120,150
Mauro Perković,107,-75,120,150
Max Lewis Rowe Alleyne,91,-75,120,150
Max Moerstedt,90,-75,120,150
Max Weiß,102,-75,120,150
Maxim Bora Dal,87,-75,120,150
Maxim Mukhin,115,-75,120,150
Maximilian Beier,124,150,150,150
Maximilian Hennig,84,-75,120,150
Maximo Carrizo,78,-75,120,150
Mayckel Lahdo,120,-75,120,150
Medhi Harfi,70,-75,120,150
Mel Yannick Joël Agnero,95,-75,120,150
Melkamu Benjamin Daniel Frauendorf,87,-75,120,150
Melvin Bard,127,150,150,150
Mervin Gbeme,84,-75,120,150
Metehan Baltacı,100,-75,120,150
Mexx Meerdink,109,-75,120,150
Micah Philippe Jude Hamilton,105,-75,120,150
Miguel Adedayo Azeez,109,-75,120,150
Miguel Almeida Patrício,60,-75,120,150
Miguel Ângelo Gomes Ferreira Magalhães,114,-75,120,150
Miguel Changa Chaiwa,108,-75,120,150
Miguel Maria Mariano Falé,97,-75,120,150
Miguel Pedro Miranda Oliveira Menino,90,-75,120,150
Miguel Rodríguez Vidal,116,-75,120,150
Mihajlo Petković,106,-75,120,150
Mihajlo Spasojević,101,-75,120,150
Mika Baur,107,-75,120,150
Mika Miles Biereth,108,-75,120,150
Milan B. Aleksić,94,-75,120,150
Milan Majstorović,106,-75,120,150
Milijan Kovačević,70,-75,120,150
Miloš Luković,106,-75,120,150
Mimeirhel Benita,111,-75,120,150
Mitchel Frame,65,-75,120,150
Mitja Ilenič,108,-75,120,150
Mitsuki Hidaka,80,-75,120,150
Mohamad Bassem Al-Thallaj,60,-75,120,150
Mohamed Hamdi Ibrahim,108,-75,120,150
Mohamed Taabouni,110,-75,120,150
Mohammed Diomandé,125,150,150,150
Mokrane Bentoumi,88,-75,120,150
Momodou Lamin Sonko,104,-75,120,150
Montader Madjed,96,-75,120,150
Moses Cobnan David,109,-75,120,150
Moustapha Elhadji Cissé,101,-75,120,150
Mudaser Sadat,80,-75,120,150
Muhammed Damar,108,-75,120,150
Murad Al-Faluji,75,-75,120,150
Musab Fahad Zaid Al-Juwair,105,-75,120,150
Mustafa Erhan Hekimoğlu,65,-75,120,150
Nacim Dendani,85,-75,120,150
Nahue Nicolas Noll,105,-75,120,150
Nassim El Harmouz,80,-75,120,150
Nathan Ordaz,103,-75,120,150
Nathan Ribeiro Fernandes,90,-75,120,150
Nathaniel Brown,114,-75,120,150
Nazjir Held,96,-75,120,150
Neco Celorio García,87,-75,120,150
Neco Shay Williams,127,150,150,150
Nehuén Benedetti,96,-75,120,150
Neil Volken,74,-75,120,150
Nelson Giovany Quiñones Iturbe,118,-75,120,150
Nemanja I. Trifunović,100,-75,120,150
Nevio Di Giusto,82,-75,120,150
Newertton Martins da Silva,102,-75,120,150
Nhoa Sangui,90,-75,120,150
Nicola Profeta Cabrales,80,-75,120,150
Nicolás Agustín Sánchez,118,-75,120,150
Nicolás Andrés Wunsch Tomás,84,-75,120,150
Nicolas Bajlicz,105,-75,120,150
Nicolás Dubersarsky,98,-75,120,150
Nicolás Federico Castro,125,150,150,150
Nicolás Melamed Ribaudo,125,150,150,150
Nicolás Valentini,126,150,150,150
Nicolò Contiliano,89,-75,120,150
Niek Janssen,82,-75,120,150
Nikita Igorevich Iosifov,114,150,150,150
Nikita Krivtsov,120,-75,120,150
Nikita Saltykov,97,-75,120,150
Niklas Jensen Wassberg,106,-75,120,150
Niklas Ødegård,100,-75,120,150
Niko Kasalo,98,-75,120,150
Nikola Iliyanov Iliev,101,-75,120,150
Nikola Jojić,105,-75,120,150
Nikola Mituljikić,105,-75,120,150
Nikola Petković,108,-75,120,150
Nikola Simić,96,-75,120,150
Nikola Stanković,109,-75,120,150
Nikola Virijević,89,-75,120,150
Noah Donovan Sahsa,95,-75,120,150
Noah Edjouma,87,-75,120,150
Noah Hay,70,-75,120,150
Noah Karl Anders Persson,114,-75,120,150
Noah Mbamba-Muanda,107,-75,120,150
Noah Streit,83,-75,120,150
Noë Misumi,88,-75,120,150
Noel Arthur Buck,96,-75,120,150
Norman Bassette,106,-75,120,150
Nuno Costa Cunha,83,-75,120,150
Nuno Miguel Madeira Fernandes Félix,89,-75,120,150
Oakley William Cannonier,82,-75,120,150
Obed Vargas,99,-75,120,150
Ocheretko Oleh Andriyovych,105,-75,120,150
Oleksandr Petrenko,85,-75,120,150
Oliver James Scarles,95,-75,120,150
Oliver John O'Neill,95,-75,120,150
Oliver Mvouama,78,-75,120,150
Oliwier Sławiński,76,-75,120,150
Ollie Harrison,65,-75,120,150
Olof Matteo Perez Vinlöf,85,-75,120,150
Oluwafemi David Adetayo Fapetu,62,-75,120,150
Oluwaseun Adewumi,95,-75,120,150
Oluwaseun Sunday Odunsi,98,-75,120,150
Omar El Hilali,110,-75,120,150
Omar Fernando Moreno Villegas,84,-75,120,150
Omar Khedr,99,-75,120,150
Omari Benjamin,75,-75,120,150
Omari Nathan Forson,96,-75,120,150
