Inf,Name,UID,Best Pos,Best Role,Best Duty,Pros,Cons,Position,Club,On Loan From,Based,Asking Price,Salary,Expires,Nat,2nd Nat,Home Grown Status,Height,Weight,Preferred Foot,Age,Personality,Media Handling,Transfer Value,Apps,Starts,Mins,Mins/Gm,Av Rat,Yth Gls,Yth Apps,Gls,Gls/90,Shots,ShT,Shot %,Shot/90,ShT/90,Pens,Pens S,Pen/R,Off,xG,CCC,Ch C/90,Ast,Asts/90,K Pas,K Ps/90,Pas A,Ps A/90,Ps C,Ps C/90,Pas %,Cr A,Cr C,Cr C/A,Drb,Goals Outside Box,FK Shots,OP-Cr %,Tck A,Shots Outside Box/90,Shts Blckd/90,Shts Blckd,Pr passes/90,Pr Passes,Pres C/90,Pres C,Pres A/90,Pres A,Poss Won/90,Poss Lost/90,OP-KP/90,OP-KP,OP-Crs C/90,OP-Crs C,OP-Crs A/90,OP-Crs A,Gl Mst,Hdrs L/90,K Tck/90,K Hdrs/90,Sprints/90,xGP/90,Blk,xG/shot,xGP,Clr/90,Blk/90,Conv %,Crs A/90,Cr C/90,Dist/90,Drb/90,FA,Distance,Hdrs A,Aer A/90,Hdrs,Hdrs W/90,Hdr %,K Tck,Tck W,Tck/90,Tck R,Fls,Yel,Red,Itc,Int/90,Clear,Conc,All/90,Shutouts,xSv %,Svh,Svt,Svp,Sv %,Pens Faced,Pens Saved,Pens Saved Ratio,PoM,AT Apps,Saves/90,Tgls/90,Tcon/90,Tall,Tgls,Pts/Gm,NP-xG/90,NP-xG,Last Gl,Last C,Last 5 Games,Last 5 FT Games,Int Conc,Int Av Rat,Int Ast,Int Apps,Won,G. Mis,Lost,D,Gwin,xG/90,xG-OP,xA/90,xA,Cln/90,Mins/Gl,AT Lge Gls,AT Lge Apps,AT Gls,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,decimal_height,decimal_weight
,Massawudu Inusah,2000092311,GK,Sweeper Keeper,Defend,Rushing Out (Tendency),,GK,Soccer Intellectuals,,Ghana (Division One - Zone 2),-,"$1,400 p/a",2026-07-31,GHA,,-,"6'0""",160 lbs,Right,31.0,Balanced,Media-friendly,$1K - $8K,1,1.0,90.0,90.0,9.2,,,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,20.0,20.0,12.0,12.0,0.6,,,,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,41.0,,0.0,0.0,0.0,0.0,1.45,0.0,0.0,,0.0,,,,,,,0.0,,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,,,41.0,,5.0,6.0,8.0,1.0,6.0,1.0,3.0,5.0,14.0,13.0,5.0,9.0,1.0,8.0,11.0,5.0,3.0,10,3.0,1.0,2.0,12.0,12.0,8.0,1.0,10.0,5.0,2.0,3.0,1.0,5.0,1.0,9.0,13.0,1.0,2.0,9.0,6.0,9.0,9.0,8.0,6.0,8.0,9.0,8.0,10.0,13.0,6.0,160
Ask,Tayeb Ben Zitoun,13219271,D (C),No-Nonsense Centre-Back,Cover,Heading,,D (C),CA Bizerte,,Tunisia (Ligue 2),-,"$26,500 p/a",,TUN,,-,"6'4""",185 lbs,Right Only,28.0,,Scouting Required,Unknown,1,1.0,90.0,90.0,6.7,,,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.19,0.0,,0.0,,0.0,,60.0,60.0,51.0,51.0,0.85,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,,1.0,0.19,,2.0,1.0,,0.0,0.0,0.0,,0.0,5.8,12.0,12.0,7.0,7.0,0.58,0.0,,,,0.0,0.0,0.0,3.0,3.0,2.0,,,,,,,,,,,,0.0,68.0,,3.0,1.0,,3.0,1.65,0.19,0.19,,,,,,,,,1.0,,0.0,0.0,,0.19,-0.19,0.29,0.29,,,3.0,67.0,3.0,,,,,,,,,,,,,,,,,,12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.33,185
,Samuel Danso,2000140947,D (L),Full-Back,Defend,Speed,Heading,D (L),Ebusua Dwarfs FC,,Ghana (Division One - Zone 2),-,"$13,000 p/a",2027-07-31,GHA,,-,"5'9""",143 lbs,Left,22.0,,Scouting Required,Unknown,1,1.0,90.0,90.0,9.0,,,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,0.0,,20.0,20.0,16.0,16.0,0.8,0.0,0.0,,0.0,0.0,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,4.0,4.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,0.0,54.0,,0.0,0.0,,0.0,1.45,0.0,0.0,,,,,,,,,0.0,,0.0,1.0,,0.0,0.0,0.0,0.0,,,5.0,52.0,6.0,,,,,,,,,,,,,,,,,,14-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75,143
,Matthew Agama,2000109000,AM (L),Winger,Support,Speed,Team Player,M/AM (L),Great Olympics,,Ghana (Premier League),-,"$6,500 p/a",,GHA,,-,"5'7""",136 lbs,Left,25.0,,Scouting Required,Unknown,2 (3),2.0,261.0,52.2,7.0,,,2.0,0.69,7.0,6.0,0.86,2.41,2.07,0.0,0.0,,1.0,0.63,4.0,1.38,0.0,,5.0,1.72,88.0,30.34,80.0,27.59,0.91,34.0,4.0,,8.0,1.0,0.0,0.12,9.0,1.72,0.0,0.0,1.38,4.0,1.03,3.0,7.59,22.0,5.52,13.79,1.38,4.0,1.03,3.0,8.62,25.0,0.0,4.14,0.0,0.0,10.0,,0.0,0.09,,0.34,,0.29,11.72,1.38,0.0,2.76,4.0,23.7,16.0,5.52,4.0,1.38,0.25,0.0,8.0,2.76,,2.0,0.0,0.0,9.0,3.1,1.0,,,,,,,,,,,,0.0,94.0,,1.72,1.03,,5.0,1.25,0.22,0.63,209.0,,,,,,,,1.0,,2.0,2.0,,0.22,1.37,0.27,0.77,,0.0,9.0,91.0,12.0,,,,,,,,,,,,,,,,,,12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.58,136
,Abdramane Coulibaly,12095201,-,Unknown,Unknown,Unknown,Unknown,D (R),RC Kadiogo,,Burkina Faso (Fasofoot D1),-,"$6,500 p/a",2026-06-30,MLI,,-,"5'11""",160 lbs,Unknown,22.0,,Scouting Required,Unknown,5,5.0,450.0,90.0,7.34,,,0.0,,2.0,1.0,0.5,0.4,0.2,0.0,0.0,,0.0,0.22,0.0,,0.0,,0.0,,100.0,20.0,72.0,14.4,0.72,0.0,0.0,,0.0,0.0,0.0,,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.11,,0.0,,,0.0,0.0,0.0,,11.0,0.0,0.0,,,,,0.0,10.0,2.0,,5.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,0.0,98.0,,0.0,0.0,,0.0,1.25,0.04,0.22,,,,,,,,,0.0,,0.0,5.0,,0.04,-0.22,0.0,0.0,,,8.0,98.0,8.0,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.92,160
,Moctar Njie,2000134849,-,Unknown,Unknown,Unknown,Unknown,D (R),Casa Sports,,Senegal (Ligue 1 StarTimes),-,"$13,500 p/a",2027-07-31,SEN,GAM,-,"5'10""",163 lbs,Unknown,21.0,,Scouting Required,Unknown,-,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,64.0,6.0,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.83,163
,Musa Hamzata,2000292077,D (C),Central Defender,Cover,Marking,Team Player,D (C),Accra Lions FC,,Ghana (Premier League),-,"$6,500 p/a",,GHA,,-,"6'2""",171 lbs,Right,22.0,Balanced,Media-friendly,$20K - $60K,2 (1),2.0,197.0,65.67,6.9,,,0.0,,1.0,0.0,0.0,0.46,0.0,0.0,0.0,,0.0,0.12,0.0,,0.0,,1.0,0.46,126.0,57.56,102.0,46.6,0.81,0.0,0.0,,0.0,0.0,0.0,,4.0,0.46,1.37,3.0,6.85,15.0,1.83,4.0,5.03,11.0,16.9,13.25,0.46,1.0,0.0,0.0,0.0,0.0,0.0,2.74,0.0,2.74,4.11,,3.0,0.12,,0.91,1.37,,0.0,0.0,0.0,,0.0,14.8,24.0,10.96,18.0,8.22,0.75,0.0,4.0,1.83,,1.0,0.0,0.0,4.0,1.83,2.0,,,,,,,,,,,,0.0,52.0,,1.37,0.46,,3.0,1.65,0.05,0.12,,,,,,,,,2.0,,1.0,0.0,,0.05,-0.12,0.01,0.02,,,1.0,46.0,2.0,8.0,6.0,3.0,7.0,7.0,13.0,8.0,5.0,3.0,3.0,1.0,12.0,4.0,8.0,13.0,3.0,7.0,9,14.0,1.0,7.0,2.0,3.0,12.0,10.0,2.0,1.0,5.0,7.0,5.0,4.0,2.0,8.0,13.0,2.0,4.0,11.0,8.0,4.0,3.0,9.0,6.0,8.0,13.0,14.0,3.0,11.0,6.17,171
,Baki Alifoe,2000109917,D (C),Central Defender,Cover,Marking,Team Player,D (C),Vision FC,,Ghana (Premier League),-,"$13,750 p/a",2027-07-31,GHA,,-,"6'0""",163 lbs,Right,22.0,Balanced,Media-friendly,$22K - $75K,0 (1),,20.0,20.0,6.8,,,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,5.0,,5.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,1.0,,0.0,,1.0,,1.0,,,,0.0,,0.0,,0.0,0.0,,,,,,1.0,0.0,,,,,,,,,0.0,1.9,1.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,0.0,66.0,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,1.0,,,0.0,,0.0,,,1.0,60.0,1.0,5.0,1.0,,4.0,5.0,12.0,6.0,6.0,,1.0,,13.0,,2.0,9.0,,5.0,13,13.0,,3.0,1.0,,6.0,12.0,,1.0,5.0,6.0,,,1.0,8.0,13.0,,,12.0,6.0,,,8.0,6.0,8.0,13.0,15.0,,13.0,6.0,163
Loa,Rodney Appiah,2000128243,M (C),Central Midfielder,Attack,Speed,Team Player,M (C),Great Olympics,,Ghana (Premier League),-,"$6,500 p/a",2026-07-31,GHA,,-,"5'11""",154 lbs,Right,24.0,Balanced,Media-friendly,$1K - $12K,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,12.0,4.0,,9.0,7.0,8.0,3.0,9.0,,,,9.0,1.0,13.0,13.0,,,14,,,7.0,8.0,,11.0,5.0,,,5.0,13.0,6.0,,3.0,8.0,,4.0,,,,,,,,,,13.0,,13.0,5.92,154
Inj,Mohamed Anas,13134712,ST (C),Poacher,Attack,Speed,Intelligence,ST (C),Al-Taliyah,,Syria (Premier League),-,"$14,750 p/a",2026-06-30,GHA,,-,"6'0""",171 lbs,Right,30.0,Balanced,Media-friendly,$0 - $45K,9,9.0,810.0,90.0,7.08,,,2.0,0.22,29.0,20.0,0.69,3.22,2.22,0.0,0.0,,0.0,2.42,0.0,,1.0,0.11,0.0,,180.0,20.0,110.0,12.22,0.61,0.0,0.0,,0.0,0.0,0.0,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.08,,0.0,,0.07,0.0,0.0,0.0,,5.0,0.0,0.0,,,,,0.0,9.0,1.0,,9.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,0.0,201.0,,0.0,0.0,,0.0,1.05,0.27,2.42,0.0,,,,,,,,0.0,,0.0,9.0,,0.27,-0.42,0.08,0.75,,0.0,62.0,201.0,62.0,7.0,4.0,2.0,10.0,8.0,3.0,12.0,12.0,2.0,3.0,3.0,6.0,9.0,6.0,12.0,2.0,8.0,13,5.0,4.0,8.0,10.0,2.0,6.0,12.0,2.0,6.0,9.0,7.0,13.0,3.0,8.0,8.0,7.0,4.0,6.0,8.0,11.0,3.0,4.0,8.0,8.0,9.0,13.0,11.0,3.0,13.0,6.0,171
,Ernest Sowah,13109295,GK,Goalkeeper,Defend,Kicking,,GK,WAFA SC,,Ghana (Premier League),-,"$4,900 p/a",2026-07-31,GHA,,-,"5'11""",158 lbs,Right,37.0,Balanced,Media-friendly,$0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,6.0,6.0,6.0,1.0,7.0,2.0,5.0,2.0,5.0,9.0,7.0,9.0,4.0,9.0,7.0,5.0,1.0,14,1.0,2.0,2.0,12.0,11.0,5.0,1.0,7.0,4.0,1.0,4.0,2.0,5.0,1.0,8.0,13.0,1.0,2.0,11.0,7.0,10.0,6.0,11.0,2.0,9.0,5.0,14.0,10.0,6.0,5.92,158
,Maxwell Quaye,2000128160,ST (C),Advanced Forward,Attack,Skill,Heading,"AM (L), ST (C)",Amanat Baghdad,,Iraq (Iraqi Premier League),-,"$127,000 p/a",2026-06-30,GHA,,-,"5'9""",149 lbs,Right,27.0,Balanced,Media-friendly,$14K,9,9.0,810.0,90.0,7.57,,,4.0,0.44,25.0,13.0,0.52,2.78,1.44,0.0,0.0,,0.0,3.26,0.0,,0.0,,0.0,,180.0,20.0,112.0,12.44,0.62,0.0,0.0,,0.0,0.0,0.0,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.13,,0.0,,0.16,0.0,0.0,0.0,,21.0,0.0,0.0,,,,,0.0,7.0,0.78,,15.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,0.0,142.0,,0.0,0.0,,0.0,1.05,0.36,3.26,0.0,,,,,,,,0.0,,0.0,9.0,,0.36,0.74,0.16,1.45,,0.0,57.0,142.0,57.0,10.0,10.0,3.0,10.0,8.0,4.0,6.0,11.0,3.0,2.0,2.0,6.0,2.0,12.0,11.0,2.0,11.0,11,8.0,3.0,9.0,5.0,2.0,6.0,9.0,1.0,8.0,9.0,14.0,11.0,3.0,15.0,8.0,11.0,10.0,7.0,9.0,10.0,2.0,3.0,7.0,10.0,10.0,13.0,11.0,1.0,11.0,5.75,149
FrA,Hugo Nyamé,13113020,GK,Goalkeeper,Defend,Handling,,GK,,,Cameroon,-,-,,CMR,,-,"6'0""",169 lbs,Right,39.0,Balanced,"Outspoken, Media-friendly",$0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.0,,8.0,8.0,9.0,2.0,9.0,2.0,5.0,5.0,12.0,5.0,8.0,9.0,1.0,14.0,6.0,8.0,1.0,10,3.0,2.0,2.0,5.0,11.0,8.0,1.0,14.0,4.0,2.0,5.0,3.0,5.0,1.0,8.0,14.0,2.0,3.0,11.0,6.0,12.0,9.0,14.0,7.0,10.0,10.0,5.0,11.0,5.0,6.0,169
,Jonah Aryeetey,2000110879,D (R),Full-Back,Defend,Speed,Heading,D (R),Asante Kotoko,,Ghana (Premier League),-,"$7,250 p/a",2027-07-31,GHA,,-,"5'7""",134 lbs,Right,24.0,Balanced,Media-friendly,$1.5K - $14K,0 (3),,69.0,23.0,6.7,,,0.0,,1.0,0.0,0.0,,,0.0,0.0,,0.0,0.03,0.0,,0.0,,0.0,,29.0,,20.0,,0.69,2.0,0.0,,0.0,0.0,0.0,0.0,2.0,,,0.0,,3.0,,4.0,,9.0,,,,0.0,,0.0,,2.0,0.0,,,,,,1.0,0.03,,,,,,,,,0.0,6.6,7.0,,5.0,,0.71,0.0,2.0,,,0.0,0.0,0.0,1.0,,0.0,,,,,,,,,,,,0.0,69.0,,,,,1.0,,,0.03,,,,,,,,,0.0,,0.0,3.0,,,-0.03,,0.0,,,,65.0,,8.0,9.0,4.0,6.0,8.0,9.0,2.0,11.0,2.0,3.0,3.0,11.0,4.0,8.0,14.0,3.0,6.0,12,7.0,5.0,2.0,10.0,3.0,5.0,8.0,2.0,1.0,7.0,10.0,4.0,4.0,7.0,8.0,14.0,11.0,5.0,12.0,7.0,3.0,2.0,9.0,9.0,10.0,13.0,12.0,1.0,14.0,5.58,134
FrA,Dennis Gyamfi,28122211,D (R),Wing-Back,Defend,Speed,Heading,D/WB (RL),,,Croatia,-,-,,GHA,NED,-,"5'8""",147 lbs,Right Only,23.0,Balanced,Media-friendly,$0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,116.0,4.0,12.0,11.0,2.0,9.0,12.0,10.0,7.0,12.0,1.0,2.0,3.0,10.0,6.0,11.0,13.0,1.0,10.0,13,10.0,9.0,4.0,9.0,2.0,7.0,7.0,2.0,6.0,5.0,11.0,4.0,1.0,8.0,8.0,8.0,9.0,8.0,12.0,8.0,3.0,2.0,10.0,11.0,8.0,12.0,13.0,4.0,13.0,5.67,147
Ctr,Frank Amoabeng,43393555,D (C),Central Defender,Defend,Athleticism,,D (C),Bellinzona,,Switzerland (Promotion League),-,N/A,,GHA,ITA,-,"6'0""",163 lbs,Right Only,24.0,,Scouting Required,Unknown,12,12.0,1080.0,180.0,7.93,,,3.0,0.25,8.0,2.0,0.25,0.67,0.17,0.0,0.0,,0.0,2.24,0.0,,0.0,,0.0,,240.0,20.0,171.0,14.25,0.71,0.0,0.0,,0.0,0.0,0.0,,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.28,,0.0,,0.38,0.0,0.0,0.0,,10.0,0.0,0.0,,,,,0.0,22.0,1.83,,6.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,2.0,105.0,,0.0,0.0,,0.0,2.4,0.19,2.24,0.0,,,,,,,,0.0,,0.0,12.0,,0.19,0.76,0.0,0.0,,0.0,6.0,105.0,6.0,,,,,,,,,,,,,,,,,,10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,163
,Seif Teka,12061272,D (C),No-Nonsense Centre-Back,Stopper,Heading,Speed,D (C),Aswan,,Egypt (Second Division A),-,"$60,000 p/a",2026-07-31,TUN,,-,"6'0""",176 lbs,Right Only,34.0,,Scouting Required,Unknown,2,2.0,180.0,90.0,6.85,,,0.0,,1.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.25,0.0,,0.0,,2.0,1.0,110.0,55.0,75.0,37.5,0.68,1.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,1.5,3.0,6.0,12.0,1.5,3.0,3.0,6.0,12.5,3.5,1.0,2.0,0.0,0.0,0.5,1.0,0.0,3.0,0.5,1.0,3.0,,0.0,0.25,,1.5,,,0.5,0.0,0.0,,2.0,14.2,23.0,11.5,17.0,8.5,0.74,1.0,1.0,0.5,,1.0,0.0,0.0,3.0,1.5,3.0,,,,,,,,,,,,0.0,213.0,,1.5,0.5,,3.0,1.6,0.12,0.25,,,,,,,,,1.0,,0.0,1.0,,0.12,-0.25,0.0,0.0,,,15.0,212.0,15.0,,,,,,,,,,,,,,,,,,11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,176
,Talha Sarıarslan,2000038206,ST (C),Advanced Forward,Attack,Speed,Team Player,ST (C),Kayserispor,,Türkiye (1. Lig),-,"$18,750 p/a",2026-06-30,TUR,,-,"5'10""",152 lbs,Right,21.0,,Scouting Required,Unknown,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,11.0,1.0,,,,,,,,,,,,,,,,,,13-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.83,152
,Nana Kofi Babil,13231989,ST (C),Pressing Forward,Attack,Speed,Intelligence,AM (L),Medeama SC,,Ghana (Premier League),-,"$6,500 p/a",,GHA,,-,"6'0""",165 lbs,Left,23.0,,Scouting Required,Unknown,0 (3),,21.0,7.0,6.5,,,0.0,,1.0,1.0,1.0,,,0.0,0.0,,1.0,0.14,0.0,,0.0,,0.0,,4.0,,4.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,1.0,,,0.0,,1.0,,1.0,,1.0,,,,0.0,,0.0,,0.0,0.0,,,,,,0.0,0.14,,,,,,,,,1.0,2.4,3.0,,2.0,,0.67,0.0,0.0,,,1.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,0.0,65.0,,,,,0.0,,,0.14,,,,,,,,,1.0,,1.0,1.0,,,-0.14,,0.0,,,14.0,57.0,15.0,,,,,,,,,,,,,,,,,,9-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,165
,Christian Dione,12078298,M (C),Mezzala,Support,Speed,Team Player,M (C),Mbour Petite Côte,,Senegal (Ligue 2 StarTimes),-,"$6,500 p/a",,SEN,,-,"6'1""",167 lbs,Right,27.0,,Scouting Required,$0 - $120K,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,83.0,1.0,,,,,,,,,,,,,,,,,,15-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.08,167
,Emmanuel Owusu,2000243185,M (C),Mezzala,Support,Speed,Marking,M/AM (C),Bechem Utd,,Ghana (Premier League),-,"$6,500 p/a",,GHA,,-,"5'10""",152 lbs,Right,24.0,,Scouting Required,Unknown,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,66.0,8.0,,,,,,,,,,,,,,,,,,9-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.83,152
,Fodé Kouyaté,12082282,D (C),Central Defender,Defend,Heading,Team Player,D (RLC),LC Bamako,,Mali (Malian Ligue 2),-,"$1,400 p/a",,MLI,,-,"6'2""",169 lbs,Right Only,32.0,,Scouting Required,Unknown,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,53.0,6.0,,,,,,,,,,,,,,,,,,12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.17,169
,Rostand Moukap,13129943,-,Unknown,Unknown,Unknown,Unknown,D (C),Fauve Azur,,Cameroon (Elite One),-,"$4,000 p/a",2026-06-30,CMR,,-,"6'1""",180 lbs,Unknown,32.0,,Scouting Required,Unknown,1,1.0,90.0,90.0,7.1,,,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,48.0,48.0,45.0,45.0,0.94,0.0,0.0,,2.0,0.0,0.0,,1.0,0.0,0.0,0.0,6.0,6.0,1.0,1.0,3.0,3.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,5.0,,0.0,0.0,,1.0,,,0.0,0.0,0.0,2.0,0.0,6.9,10.0,10.0,10.0,10.0,1.0,0.0,1.0,1.0,,1.0,0.0,0.0,0.0,,1.0,,,,,,,,,,,,0.0,52.0,,2.0,3.0,,2.0,1.35,0.0,0.0,,,,,,,,,0.0,,1.0,0.0,,0.0,0.0,0.13,0.13,,,3.0,48.0,3.0,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.08,180
Unh,Derrick Burinyuy,13222489,-,Unknown,Unknown,Unknown,Unknown,D (C),PWD Bamenda,,Cameroon (Elite One),-,"$3,900 p/a",,CMR,,-,"6'1""",167 lbs,Unknown,30.0,,Scouting Required,Unknown,2,2.0,164.0,82.0,7.1,,,0.0,,2.0,0.0,0.0,1.1,0.0,0.0,0.0,,0.0,0.02,0.0,,0.0,,1.0,0.55,80.0,43.9,74.0,40.61,0.93,0.0,0.0,,0.0,0.0,0.0,,5.0,0.55,2.2,4.0,7.13,13.0,2.74,5.0,6.04,11.0,10.43,3.29,0.55,1.0,0.0,0.0,0.0,0.0,0.0,1.1,0.55,1.1,3.29,,0.0,0.01,,2.2,,,0.0,0.0,0.0,,0.0,9.9,14.0,7.68,12.0,6.59,0.86,1.0,2.0,1.1,,1.0,0.0,0.0,2.0,1.1,4.0,,,,,,,,,,,,1.0,54.0,,1.1,1.65,,2.0,1.3,0.01,0.02,,,,,,,,,0.0,,1.0,1.0,,0.01,-0.02,0.0,0.0,,,1.0,51.0,1.0,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.08,167
